LApredict,0.0591,0.6938,0.6253,0.0198,0.8137
DeepJIT,0.2927,0.7748,0.6758,0.0138,0.8596
Deeper,0.2455,0.6819,0.6379,0.0209,0.8273
CC2Vec,0.2445,0.7906,0.6758,0.0139,0.8597
